"","year","scenario","breed_start","breed_end","precip_start","precip_end","avg_min_temp","precipitation","mean_April_temp"
"91",2039,2,107,128,118,138,1.33738374381818,0.139064187142858,5.9534592432
"92",2040,2,106,127,117,137,2.21491611218182,0.124324181428573,6.1582352916
"93",2041,2,107,128,118,138,1.76449758545455,0.117403990952382,5.7447158496
"94",2042,2,109,130,120,140,2.360570394,0.133216626190477,5.40423625
"95",2043,2,107,128,118,138,1.95107378454545,0.119826057619049,5.9384036768
"96",2044,2,109,130,120,140,2.14416974672727,0.0908650604761913,5.3145132124
"97",2045,2,106,127,117,137,2.43644933890909,0.123251551904763,6.1883464244
"98",2046,2,106,127,117,137,2.65382101472727,0.120033663333334,6.2193730984
"99",2047,2,108,129,119,139,2.29440173454545,0.12058727857143,5.721623866
"100",2048,2,107,128,118,138,2.24890211127273,0.132801414761906,5.7834737604
"101",2049,2,105,126,116,136,2.02695272945455,0.109514973809525,6.5020718756
"102",2050,2,107,128,118,138,1.79279613163636,0.113182674761905,5.7961896104
"103",2051,2,107,128,118,138,2.790874758,0.11370168904762,6.0040174628
"104",2052,2,108,129,119,139,2.565041262,0.135431087142858,5.6121658292
"105",2053,2,105,126,116,136,2.62094476254545,0.119341644285715,6.483557598
"106",2054,2,106,127,117,137,1.95523533545455,0.153527385238096,6.3358502844
"107",2055,2,106,127,117,137,2.52176113254545,0.141417051904763,6.0784814804
"108",2056,2,106,127,117,137,2.31132537490909,0.112075444285715,6.2397184584
"109",2057,2,107,128,118,138,2.95955628818182,0.119826057619049,6.0012708392
"110",2058,2,104,125,115,135,2.91405666490909,0.111210420476191,6.9083687148
"111",2059,2,106,127,117,137,2.23669489527273,0.129791131904763,6.1991294652
"112",2060,2,105,126,116,136,2.15207669345455,0.110933612857144,6.5179412564
"113",2061,2,106,127,117,137,2.28011374309091,0.11553553952381,6.3260845116
"114",2062,2,105,126,116,136,2.48541692127273,0.119722254761906,6.5940329028
"115",2063,2,103,124,114,134,2.67587723454545,0.143008695714286,7.1038876244
"116",2064,2,103,124,114,134,2.39427895636364,0.124151176666668,7.0423429104
"117",2065,2,106,127,117,137,2.78074831745455,0.124047373809524,6.128531066
"118",2066,2,104,125,115,135,2.40593129890909,0.114013097619049,6.9620804652
"119",2067,2,105,126,116,136,2.54908865018182,0.100380322380953,6.6489653748
"120",2068,2,103,124,114,134,2.23641745854545,0.108303940476191,7.13104868
"121",2069,2,101,122,112,132,2.93750006836364,0.125466012857144,7.7451733716
"122",2070,2,107,128,118,138,2.85926291127273,0.117819202380953,5.8475616444
"123",2071,2,104,125,115,135,2.76507314236364,0.114532111904763,7.0002280152
"124",2072,2,106,127,117,137,2.07148132418182,0.123701364285715,6.1481643384
"125",2073,2,102,123,113,133,2.58362952272727,0.129721930000001,7.5779345124
"126",2074,2,103,124,114,134,3.07413765654545,0.138129961428572,7.1380678292
"127",2075,2,103,124,114,134,2.87521552309091,0.141382450952382,7.2445757888
"128",2076,2,102,123,113,133,2.64300098236364,0.113044270952382,7.5324626328
"129",2077,2,103,124,114,134,3.00311385436364,0.12169450904762,7.0713350484
"130",2078,2,103,124,114,134,2.81750868381818,0.103563610000001,7.1146706652
"131",2079,2,104,125,115,135,2.41383824563636,0.107854128095239,6.9705237896
"132",2080,2,102,123,113,133,2.68683598527273,0.118995634761906,7.4654246716
"133",2081,2,101,122,112,132,3.53343415854545,0.149582876666667,7.9508649612
"134",2082,2,101,122,112,132,2.94332623963636,0.123770566190477,7.8795544744
"135",2083,2,104,125,115,135,2.92876081145455,0.114808919523811,6.980493016
"136",2084,2,104,125,115,135,2.43298137981818,0.114116900476191,6.8040987448
"137",2085,2,100,121,111,131,2.934309546,0.127403666190477,8.0841270692
"138",2086,2,99,120,110,130,2.73760690636364,0.134600664285715,8.3018224212
"139",2087,2,99,120,110,130,2.98660636909091,0.135015875714287,8.4577696056
"140",2088,2,104,125,115,135,2.30785741581818,0.139583201428573,6.7756152408
"141",2089,2,106,127,117,137,2.65867615745455,0.129583526190477,6.2591482772
"142",2090,2,104,125,115,135,3.28387982236364,0.121902114761906,6.9329866004
"143",2091,2,102,123,113,133,3.08870308472727,0.124670190952382,7.6083508256
"144",2092,2,102,123,113,133,2.98341584672727,0.135707894761906,7.40825421
"145",2093,2,103,124,114,134,3.01435004181818,0.136538317619049,7.3178190848
"146",2094,2,104,125,115,135,2.82347357345455,0.13695352904762,6.9460076308
"147",2095,2,102,123,113,133,3.24753561109091,0.116054553809525,7.5545373484
"148",2096,2,100,121,111,131,2.65715025545455,0.129964136666668,8.0006093664
"149",2097,2,101,122,112,132,2.96080475345455,0.12062187952381,7.6852562864
"150",2098,2,99,120,110,130,3.05041681636364,0.13550028904762,8.2956170864
