year,scenario,breedingSeasonStart,breedingSeasonEnd,tempIndex,precipIndex,survivorship,survivorshipT,survivorshipP
2020,SSP245,114,136,0.804204375380725,0.46787674784117156,0.8719253386618724,0.7363976039400805,0.8648833555712248
2021,SSP245,117,139,2.24243024735955,0.27100527829891785,0.6126190729922733,0.6065341257919525,0.72933716998337
2022,SSP245,111,133,0.9239394780000085,0.2831293277428684,0.7420555371162827,0.7266774067054415,0.7397258214545638
2023,SSP245,112,134,0.7148652485164537,0.3344408478614635,0.7971555553529843,0.7435039933108845,0.7807501929780186
2024,SSP245,114,136,1.3248686752068124,0.3119636775440259,0.7345155033829078,0.6925538435957986,0.7633731861120956
2025,SSP245,115,137,1.0741713748483983,0.2676337027512991,0.7163596261123076,0.7141700650464776,0.7264022864193083
2026,SSP245,116,138,1.483153798930061,0.495527235136432,0.8530754947603365,0.6784485419386728,0.8784648330229634
2027,SSP245,111,133,0.9000557945217476,0.2312123619591587,0.6981266617496353,0.7286340599407951,0.6934681702234338
2028,SSP245,111,133,0.11782447252704167,0.28948650722658936,0.8050035292147016,0.7876933735624357,0.745068634738825
2029,SSP245,115,137,1.5644503218049202,0.21592485891497554,0.6216478843573512,0.6710732286659642,0.679004255116042
2030,SSP245,113,135,1.3269916692937687,0.22109443344019525,0.6496344096615887,0.6923669413309256,0.6839357214074313
2031,SSP245,113,135,1.032824301119856,0.3649099009584339,0.7975528379353972,0.7176464386222209,0.8028093584061107
2032,SSP245,111,133,1.4348769292226935,0.21456260616846415,0.6327720304382635,0.6827868259375828,0.677698010490269
2033,SSP245,111,133,1.3842311334782693,0.23204484974869433,0.6551814318712655,0.6873040836595793,0.6942453167304071
2034,SSP245,114,136,1.7984697318102139,0.3032225557539106,0.6864239548725688,0.6493764934198668,0.7563641049861589
2035,SSP245,111,133,0.9511403397391389,0.28994059147542733,0.7456165202983841,0.7244383068171786,0.7454474907632291
2036,SSP245,109,131,0.28413275792893367,0.2480286153077615,0.7625874516143915,0.775968554876533,0.7089492675879667
2037,SSP245,114,136,1.8531368295493447,0.24003673252822558,0.6184962705148936,0.644213715584724,0.7016493559807109
2038,SSP245,113,135,1.8164744934676815,0.23703977648590152,0.618964636975289,0.6476799073780051,0.6988849180224702
2039,SSP245,113,135,0.6689961894676818,0.3701188959843803,0.824098736970877,0.7471034744335855,0.806408213955176
2040,SSP245,109,131,1.1873340547984987,0.29781138512193783,0.7334731675240006,0.7045256566376791,0.7519552147774692
2041,SSP245,109,131,0.06510699366277012,0.18334431406091284,0.7257556540918368,0.7913150833451773,0.6470317658707674
2042,SSP245,112,134,1.3107631512990623,0.45931401629167357,0.8417155739101353,0.6937940473400891,0.8604251304101601
2043,SSP245,111,133,0.7904562247826171,0.21170836231863124,0.6895436964384458,0.7374993754061826,0.6749521127117689
2044,SSP245,111,133,0.9208469859183458,0.45431908955446737,0.859396725534375,0.7269312523328442,0.857768003692275
2045,SSP245,111,133,1.5153260183478345,0.22205499627427616,0.6326951854200717,0.6755402114194271,0.6848475421010769
2046,SSP245,107,129,1.0755708028907491,0.20717385992773898,0.6593037148082359,0.7140519559022512,0.6705649575810553
