year,scenario,iceOut,eggMass,temperatureIndex,precipitationIndex,survivorship,meanAprilTemp,tempStart,tempEnd,precipStart,precipEnd
2094,SSP245,107,129,1.663138243277989,0.3550359527073012,0.7440459006442036,6.003393344743134,107,129,119,139
2095,SSP245,106,128,1.8854042677523333,0.32342993413038296,0.697689711801155,6.135841638343133,106,128,118,138
2096,SSP245,102,124,0.869096253602317,0.3669267754883265,0.809631543443756,7.3638875679431335,102,124,114,134
2097,SSP245,104,126,1.5895421288749354,0.2859383682353974,0.6886606202617664,6.964508151143133,104,126,116,136
2098,SSP245,104,126,2.022765609744501,0.4247936681704523,0.7729422835785009,6.962473615143133,104,126,116,136
2099,SSP245,108,130,2.691315736021036,0.2709822318148383,0.5677469325340242,5.720999747943133,108,130,120,140
2100,SSP245,105,127,1.3582533795310259,0.13994882105159057,0.561658866083368,6.495140695943133,105,127,117,137
2000,SSP585,117,139,0.2484250167480191,0.15447112236645363,0.683633567739566,2.7544428063431337,117,139,129,149
2001,SSP585,119,141,1.3134593697597683,0.22152174111832748,0.6513332325315345,1.9270987419431338,119,141,131,151
2002,SSP585,119,141,2.006882313411942,0.2408721584132956,0.6042687451468239,2.0492726287431333,119,141,131,151
2003,SSP585,117,139,0.9667780599258485,0.22493652064096986,0.6863757395532802,2.8019492219431337,117,139,129,149
2004,SSP585,114,136,0.022769450866704774,0.20900088286863988,0.7509058846648086,3.5269561255431334,114,136,126,146
2005,SSP585,117,139,1.1261353035780222,0.1592020148301121,0.6055075361353548,2.8030682167431333,117,139,129,149
2006,SSP585,115,137,0.3637452140919286,0.1600169053980176,0.678572596378175,3.3808764407431338,115,137,127,147
2007,SSP585,116,138,0.6921307809219321,0.36362636812826266,0.8185078943388706,3.089022251543133,116,138,128,148
2008,SSP585,117,139,0.5538707910088887,0.17065575447897519,0.671588117402611,2.7830280371431333,117,139,129,149
2009,SSP585,116,138,1.0184084346610622,0.4128916768663743,0.8303197228052556,2.926055917943134,116,138,128,148
2010,SSP585,115,137,0.7356672407006244,0.24065083011090635,0.7206786704776802,3.4742616431431332,115,137,127,147
2011,SSP585,114,136,1.0342283651749689,0.27862875472614124,0.7293461395973981,3.5384512539431334,114,136,126,146
2012,SSP585,114,136,0.9827608395623567,0.4542326419205755,0.8562286584080202,3.8089428151431335,114,136,126,146
2013,SSP585,117,139,0.6288239387084571,0.36337737378807033,0.8222034033903821,2.8161909739431334,117,139,129,149
2014,SSP585,117,139,0.7288700350562832,0.250956429191097,0.730257745327506,2.646307217943133,117,139,129,149
2015,SSP585,115,137,0.8081144139180155,0.09906988167359312,0.5733844139380863,3.2338812147431337,115,137,127,147
2016,SSP585,115,137,0.5826940603054037,0.2304143961252059,0.7243381354318836,3.2064149787431333,115,137,127,147
2017,SSP585,115,137,1.3437723594832331,0.4171601512696747,0.8133837097892412,3.4444556907431343,115,137,127,147
2018,SSP585,116,138,0.8748409595306275,0.2601021828404834,0.7262699446752299,3.047822897543134,116,138,128,148
2019,SSP585,113,135,0.744587440431922,0.3429145661940556,0.8011604264265353,4.063158088343133,113,135,125,145
2020,SSP585,116,138,1.146599283657146,0.1771296073239854,0.6221758351675115,3.1390718371431334,116,138,128,148
2021,SSP585,112,134,0.2772784480367014,0.10591722602889078,0.6330241201096688,4.215137927543133,112,134,124,144
2022,SSP585,115,137,1.5186539973962767,0.22934727752438142,0.6397935985086972,3.434893371543134,115,137,127,147
2023,SSP585,118,140,1.7486882385819387,0.19875654430071552,0.5853887600069699,2.5453942323431336,118,140,130,150
2024,SSP585,115,137,0.6235616964793168,0.0884876222154086,0.5806545584602456,3.2134341279431338,115,137,127,147
2025,SSP585,115,137,1.3519989615701895,0.1940612224570855,0.6197038367563612,3.3140419331431334,115,137,127,147
2026,SSP585,116,138,1.2033742944871493,0.31934094619400283,0.7503165647181119,3.0099805279431338,116,138,128,148
2027,SSP585,117,139,2.1315056908823697,0.23335705650930072,0.5838838763501939,2.8512867199431335,117,139,129,149
2028,SSP585,115,137,1.0654098408271429,0.2310368819756865,0.6833617882486407,3.363582884743134,115,137,127,147
2029,SSP585,114,136,1.4817820561314905,0.3054684043832685,0.7159056317424478,3.8303054431431334,114,136,126,146
2030,SSP585,115,137,1.3103352026136679,0.20717492437389792,0.6371801754361478,3.382605796343133,115,137,127,147
2031,SSP585,112,134,1.0286856676888751,0.2511639244745936,0.7053485509160167,4.301198800343133,112,134,124,144
2032,SSP585,116,138,1.4001643899180156,0.26278366035024764,0.6836064009782505,3.1372407547431336,116,138,128,148
2033,SSP585,111,133,0.4249743052066982,0.18717992432812341,0.6987350269316046,4.767819631943134,111,133,123,143
2034,SSP585,110,132,0.5170742547245208,0.2607917056287073,0.7552312544686193,4.995484210343133,110,132,122,142
2035,SSP585,113,135,1.7097536272145306,0.3317906632036309,0.7202450403169555,4.145048162343134,113,135,125,145
2036,SSP585,110,132,0.6315983292858219,0.38578686440540394,0.8359892829997806,4.805763728343133,110,132,122,142
2037,SSP585,111,133,1.8230985985980022,0.2063449432399193,0.5860166671668727,4.661922033143133,111,133,123,143
2038,SSP585,109,131,0.9889247715466913,0.29017303777143577,0.7428376666571592,5.109418226343133,109,131,121,141
2039,SSP585,109,131,1.0401420038945175,0.23235101877114994,0.6868611703891747,5.304937135943133,109,131,121,141
2040,SSP585,113,135,1.9896058662975709,0.3723411700350022,0.7326666783901284,3.9127041511431337,113,135,125,145
2041,SSP585,110,132,1.1740082375071295,0.2511639244745919,0.692710676672954,5.003011993543134,110,132,122,142
2042,SSP585,112,134,1.1711916457758318,0.14895767626218936,0.5902066600768101,4.207203237143133,112,134,124,144
2043,SSP585,108,130,0.7976050104558184,0.27495671698188856,0.7451651305827413,5.590585990343134,108,130,120,140
