year,scenario,iceOut,eggMass,temperatureIndex,precipitationIndex,survivorship,meanAprilTemp,tempStart,tempEnd,precipStart,precipEnd
2082,SSP126,107,129,0.7404319382345107,0.2627380268848634,0.7394145193180968,5.817538481143133,107,129,119,139
2083,SSP126,112,134,1.820960523514962,0.30669720762058267,0.6877080625698633,4.181568083543134,112,134,124,144
2084,SSP126,111,133,1.2394229928114773,0.25424671154364586,0.6898307678959433,4.680843217943133,111,133,123,143
2085,SSP126,112,134,1.7543515840367012,0.3669085662489807,0.7467916970648678,4.2858380535431335,112,134,124,144
2086,SSP126,108,130,0.8397995179340794,0.3932221015170839,0.8285363655699144,5.703401011543134,108,130,120,140
2087,SSP126,110,132,0.9062456082897382,0.43143582677405207,0.8475817851825628,5.040244002343133,110,132,122,142
2088,SSP126,110,132,0.8971052772858219,0.3612747549153337,0.8039551287580509,5.053265032743133,110,132,122,142
2089,SSP126,112,134,1.4503653682106146,0.3474417360157417,0.7543021247278662,4.335379005143133,112,134,124,144
2090,SSP126,113,135,1.9105092555623566,0.1544711223664565,0.520842006507616,3.965093453143133,113,135,125,145
2091,SSP126,109,131,1.283357513981474,0.4470394720927921,0.8359551272688842,5.182356341943134,109,131,121,141
2092,SSP126,106,128,0.6650958101397215,0.39666810225035654,0.8405942334010775,6.152117926343133,106,128,118,138
2093,SSP126,110,132,1.6713196023766947,0.37234117003500294,0.7576381286967995,4.949401969943134,110,132,122,142
2094,SSP126,110,132,1.0023110907245207,0.4022204908581209,0.8245744507615645,4.916544213543133,110,132,122,142
2095,SSP126,113,135,1.7941426421710525,0.5743032459690232,0.8783144775971913,3.895308868343134,113,135,125,145
2096,SSP126,112,134,1.4859406001632196,0.3321190073885006,0.7387814163824951,4.380443977543134,112,134,124,144
2097,SSP126,109,131,1.384067045981474,0.3250322453984052,0.7408929241586322,5.309209661543134,109,131,121,141
2098,SSP126,113,135,2.3036612230406175,0.4612677201037978,0.7806008253618923,3.902836651543134,113,135,125,145
2099,SSP126,111,133,1.142811680858872,0.3723411700350023,0.7954765545801415,4.482170777543134,111,133,123,143
2100,SSP126,111,133,0.6354160940762631,0.23439830556829194,0.7234812952747844,4.646561286343133,111,133,123,143
2000,SSP245,117,139,0.23528899083497576,0.14824626386164125,0.6788724500226887,2.786588475143134,117,139,129,149
2001,SSP245,119,141,1.3230128431510724,0.21796467911557424,0.6468731947195898,1.9241486647431336,119,141,131,151
2002,SSP245,119,141,2.014710854107594,0.2982653538277,0.6620121852619719,2.0285203615431335,119,141,131,151
